Province,County,Adj_PopNumber,Child_3to10,fitz_total_pupils,ukda_num_age1-9_1851,num_schol_mar31_1851,num_schol_sept31_1851,Total_age1-9_i
Munster,Clare,207067,51319,18752,41678,15671,17233,4289
Munster,Cork,685325,158696,61841,125998,55758,62408,6474
Munster,Kerry,216185,51487,20472,48847,22484,23938,8421
Munster,Limerick,277477,63400,30150,51612,19053,18802,624
Munster,Tipperary,349759,66963,26252,66458,25793,25598,125
Munster,Waterford,153199,34562,14685,31824,10242,12366,3552
Connacht,Galway,331044,77215,21269,63522,16841,19115,14608
Connacht,Leitrim,125994,31846,12424,25440,10468,10963,0
Connacht,Mayo,303886,73755,15575,56854,16947,17127,8187
Connacht,Roscommon,225918,56145,14616,37123,10519,12311,102
Connacht,Sligo,141521,33096,10256,27750,9458,9047,1366
Leinster,Carlow,77549,18120,7488,13113,6434,6948,0
Leinster,Dublin,358861,66363,34749,74605,24375,27272,3
Leinster,Kildare,100247,22055,8035,19110,8102,8479,0
Leinster,Kilkenny,184658,41888,19347,32423,14109,14811,1
Leinster,Kings,127818,30536,9953,22078,9255,9547,0
Leinster,Longford,107476,25179,8479,16870,6298,6398,0
Leinster,Louth,114332,24368,6729,22008,10776,11225,1
Leinster,Meath,157413,34762,11099,28165,13848,13874,0
Leinster,Queens,129756,30335,11278,21362,8138,8450,0
Leinster,Westmeath,126748,28775,10370,21875,10500,10170,0
Leinster,Wexford,169544,36055,19318,35924,11345,13289,0
Leinster,Wicklow,110604,26966,11049,20840,6054,7044,0
Ulster,Antrim,275697,60554,20060,74133,26648,28763,2
Ulster,Armagh,217025,47139,13478,39956,8954,9458,0
Ulster,Cavan,185984,42950,17106,37001,14864,15097,1
Ulster,Donegal,245111,56656,14524,55146,21054,18720,8199
Ulster,Down,302553,67291,21625,65573,21495,25357,0
Ulster,Fermanagh,132310,30581,9719,23209,8399,8233,1
Ulster,Londonderry,194684,41896,12793,32953,12727,12200,0
Ulster,Monaghan,187982,40497,10911,27811,14212,13909,12
Ulster,Tyrone,263242,55292,18038,50895,20574,19345,156
