Year,ReportNum,Province,NumSchools,NumChildren,TotalSchools,TotalChildren,PercTotChildren,PercTotSchools
1826,0,Ulster,3449,138254,11823,542440,0.254874272,0.29171953
1826,0,Munster,3359,172152,11823,542440,0.317365976,0.284107249
1826,0,Leinster,3492,157894,11823,542440,0.291081041,0.295356509
1826,0,Connacht,1523,74140,11823,542440,0.136678711,0.128816713
1835,2,Ulster,439,45611,1106,145521,0.313432426,0.396925859
1835,2,Munster,207,32501,1106,145521,0.223342335,0.18716094
1835,2,Leinster,343,49956,1106,145521,0.343290659,0.310126582
1835,2,Connacht,117,17453,1106,145521,0.11993458,0.105786618
1836,3,Ulster,452,46962,1181,153707,0.305529351,0.382726503
1836,3,Leinster,376,52798,1181,153707,0.343497694,0.318374259
1836,3,Munster,220,35427,1181,153707,0.230483973,0.186282811
1836,3,Connacht,133,18520,1181,153707,0.120488982,0.112616427
1837,4,Ulster,484,47680,1300,166929,0.285630418,0.372307692
1837,4,Munster,255,39994,1300,166929,0.23958689,0.196153846
1837,4,Leinster,410,58569,1300,166929,0.350861744,0.315384615
1837,4,Connacht,151,20686,1300,166929,0.123920948,0.116153846
1838,5,Ulster,504,50067,1384,169548,0.295296907,0.36416185
1838,5,Munster,281,40584,1384,169548,0.239365843,0.203034682
1838,5,Leinster,442,57816,1384,169548,0.341000779,0.319364162
1838,5,Connacht,157,21081,1384,169548,0.124336471,0.113439306
1839,6,Ulster,583,53501,1581,192971,0.277248913,0.368753953
1839,6,Munster,356,53726,1581,192971,0.278414891,0.225173941
1839,6,Leinster,500,67553,1581,192971,0.350068145,0.316255534
1839,6,Connacht,142,18191,1581,192971,0.094268051,0.089816572
1840,7,Ulster,831,73787,1978,232560,0.317281562,0.420121335
1840,7,Munster,421,61897,1978,232560,0.266154971,0.212841254
1840,7,Leinster,568,76929,1978,232560,0.330792054,0.287158746
1840,7,Connacht,158,10947,1978,232560,0.047071723,0.079878665
1841,8,Ulster,1005,90531,2337,279711,0.323659062,0.430038511
1841,8,Munster,482,75191,2337,279711,0.268816743,0.206247326
1841,8,Leinster,642,88092,2337,279711,0.314939348,0.274711168
1841,8,Connacht,208,25897,2337,279711,0.092584847,0.089002995
1842,9,Ulster,1157,104000,2721,319792,0.325211387,0.425211319
1842,9,Munster,564,85976,2721,319792,0.268849752,0.207276736
1842,9,Leinster,728,98189,2721,319792,0.307040201,0.267548695
1842,9,Connacht,272,31627,2721,319792,0.098898659,0.099963249
1843,10,Ulster,1252,119815,2912,355320,0.337203085,0.429945055
1843,10,Munster,600,91831,2912,355320,0.258445908,0.206043956
1843,10,Leinster,753,105251,2912,355320,0.29621468,0.258585165
1843,10,Connacht,307,38423,2912,355320,0.108136328,0.105425824
1844,11,Ulster,1337,128244,3153,387935,0.330581154,0.424040596
1844,11,Munster,655,103791,3153,387935,0.267547398,0.207738662
1844,11,Leinster,817,112132,3153,387935,0.289048423,0.2591183
1844,11,Connacht,344,43768,3153,387935,0.112823024,0.109102442
1845,12,Ulster,1442,141174,3426,428280,0.329630149,0.420899008
1845,12,Munster,725,118467,3426,428280,0.276611096,0.211617046
1845,12,Leinster,855,118087,3426,428280,0.275723826,0.249562172
1845,12,Connacht,404,50552,3426,428280,0.11803493,0.117921775
1846,13,Ulster,1528,148844,3637,451776,0.329464159,0.420126478
1846,13,Munster,779,126502,3637,451776,0.280010448,0.214187517
1846,13,Leinster,891,122830,3637,451776,0.271882526,0.244982128
1846,13,Connacht,439,53600,3637,451776,0.118642867,0.120703877
1847,14,Ulster,1598,132524,3825,397259,0.333595966,0.417777778
1847,14,Munster,827,108176,3825,397259,0.272305977,0.21620915
1847,14,Leinster,940,114333,3825,397259,0.287804682,0.245751634
1847,14,Connacht,460,42226,3825,397259,0.106293375,0.120261438
1848,15,Ulster,1674,155115,4109,500541,0.309894694,0.407398394
1848,15,Munster,909,141270,4109,500541,0.282234622,0.221221708
1848,15,Leinster,1017,130318,4109,500541,0.260354297,0.247505476
1848,15,Connacht,509,73838,4109,500541,0.147516387,0.123874422
1849,16,Ulster,1762,149055,4321,475954,0.313171021,0.407775978
1849,16,Munster,973,135799,4321,475954,0.28531959,0.225179357
1849,16,Leinster,1071,132743,4321,475954,0.278898801,0.247859292
1849,16,Connacht,515,58357,4321,475954,0.122610588,0.119185374
1850,17,Ulster,1833,150968,4547,502508,0.300429048,0.403122938
1850,17,Munster,1035,150238,4547,502508,0.298976335,0.227622608
